Epoch	Loss_train	MAE_train_Kcat	RMSE_train_Kcat	R2_train_Kcat	PCC_train_Kcat	MAE_train_Km	RMSE_train_Km	R2_train_Km	PCC_train_Km	Loss_val	MAE_val_Kcat	RMSE_val_Kcat	R2_val_Kcat	PCC_val_Kcat	MAE_val_Km	RMSE_val_Km	R2_val_Km	PCC_val_Km	MAE_test_Kcat	RMSE_test_Kcat	R2_test_Kcat	PCC_test_Kcat	MAE_test_Km	RMSE_test_Km	R2_test_Km	PCC_test_Km
76.0000	0.5881	0.4051	0.5787	0.8477	0.9207	0.3659	0.5032	0.8452	0.9193	1.2999	0.5795	0.8276	0.6734	0.8229	0.5714	0.7859	0.6324	0.7971	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
77.0000	0.5733	0.3970	0.5673	0.8537	0.9240	0.3664	0.5017	0.8461	0.9198	1.3169	0.5737	0.8327	0.6694	0.8229	0.5767	0.7912	0.6274	0.7942	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
78.0000	0.5869	0.4031	0.5762	0.8491	0.9214	0.3676	0.5044	0.8445	0.9189	1.3149	0.5853	0.8356	0.6671	0.8217	0.5746	0.7869	0.6315	0.7963	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
79.0000	0.5673	0.3950	0.5622	0.8563	0.9254	0.3659	0.5013	0.8464	0.9200	1.3115	0.5807	0.8289	0.6724	0.8224	0.5755	0.7916	0.6270	0.7945	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
80.0000	0.5599	0.3906	0.5561	0.8594	0.9270	0.3639	0.5003	0.8470	0.9203	1.2933	0.5720	0.8226	0.6773	0.8268	0.5769	0.7870	0.6314	0.7970	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
81.0000	0.5615	0.3894	0.5559	0.8595	0.9271	0.3633	0.5026	0.8456	0.9195	1.2953	0.5690	0.8146	0.6836	0.8307	0.5809	0.7961	0.6228	0.7940	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
82.0000	0.5528	0.3902	0.5564	0.8593	0.9270	0.3578	0.4932	0.8513	0.9226	1.2863	0.5704	0.8200	0.6794	0.8314	0.5710	0.7850	0.6332	0.7967	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
83.0000	0.5452	0.3843	0.5496	0.8627	0.9288	0.3580	0.4930	0.8514	0.9227	1.3003	0.5767	0.8272	0.6738	0.8216	0.5684	0.7853	0.6329	0.7973	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
84.0000	0.5454	0.3864	0.5528	0.8610	0.9279	0.3559	0.4895	0.8535	0.9238	1.3197	0.5819	0.8334	0.6688	0.8236	0.5703	0.7912	0.6274	0.7945	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
85.0000	0.5423	0.3825	0.5458	0.8645	0.9298	0.3565	0.4943	0.8506	0.9223	1.3224	0.5778	0.8362	0.6666	0.8219	0.5731	0.7906	0.6280	0.7938	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
86.0000	0.5305	0.3757	0.5396	0.8676	0.9314	0.3533	0.4890	0.8538	0.9240	1.3007	0.5810	0.8221	0.6778	0.8249	0.5759	0.7909	0.6276	0.7932	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
87.0000	0.5402	0.3860	0.5502	0.8624	0.9286	0.3512	0.4873	0.8548	0.9246	1.2963	0.5707	0.8203	0.6792	0.8312	0.5739	0.7914	0.6273	0.7930	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
88.0000	0.5343	0.3813	0.5477	0.8636	0.9293	0.3488	0.4842	0.8567	0.9256	1.2913	0.5806	0.8176	0.6813	0.8255	0.5692	0.7902	0.6283	0.7945	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
89.0000	0.5375	0.3817	0.5459	0.8645	0.9298	0.3540	0.4893	0.8536	0.9239	1.2688	0.5587	0.7986	0.6959	0.8351	0.5819	0.7959	0.6230	0.7927	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
90.0000	0.5168	0.3728	0.5340	0.8703	0.9329	0.3465	0.4812	0.8584	0.9265	1.3039	0.5750	0.8204	0.6791	0.8253	0.5743	0.7951	0.6237	0.7946	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
91.0000	0.5168	0.3717	0.5332	0.8707	0.9331	0.3491	0.4823	0.8578	0.9262	1.2982	0.5675	0.8184	0.6807	0.8288	0.5732	0.7930	0.6257	0.7918	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
92.0000	0.5135	0.3703	0.5329	0.8709	0.9332	0.3471	0.4792	0.8596	0.9271	1.2864	0.5773	0.8221	0.6777	0.8270	0.5691	0.7829	0.6352	0.7977	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
93.0000	0.5176	0.3719	0.5347	0.8700	0.9327	0.3464	0.4811	0.8585	0.9266	1.3041	0.5670	0.8197	0.6796	0.8304	0.5764	0.7963	0.6226	0.7928	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
94.0000	0.5143	0.3746	0.5345	0.8701	0.9328	0.3431	0.4780	0.8603	0.9275	1.2690	0.5610	0.8095	0.6875	0.8319	0.5721	0.7845	0.6336	0.7967	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
