Epoch	Loss_train	MAE_train	RMSE_train	R2_train	PCC_train	Loss_val	MAE_val	RMSE_val	R2_val	PCC_val	MAE_test	RMSE_test	R2_test	PCC_test
151.0000	0.2742	0.3735	0.5237	0.8793	0.9377	0.6964	0.5837	0.8345	0.6809	0.8255	0.6072	0.8849	0.6693	0.8190
152.0000	0.2742	0.3707	0.5230	0.8796	0.9379	0.7689	0.5934	0.8768	0.6477	0.8138	0.6072	0.8849	0.6693	0.8190
153.0000	0.2831	0.3759	0.5322	0.8754	0.9356	0.6943	0.5737	0.8332	0.6819	0.8273	0.6072	0.8849	0.6693	0.8190
154.0000	0.2806	0.3758	0.5283	0.8772	0.9366	0.6775	0.5696	0.8230	0.6897	0.8318	0.6072	0.8849	0.6693	0.8190
155.0000	0.2690	0.3703	0.5176	0.8821	0.9392	0.7003	0.5806	0.8367	0.6793	0.8259	0.6072	0.8849	0.6693	0.8190
156.0000	0.2694	0.3697	0.5193	0.8813	0.9388	0.6727	0.5722	0.8200	0.6919	0.8322	0.6072	0.8849	0.6693	0.8190
157.0000	0.2685	0.3665	0.5162	0.8827	0.9395	0.6805	0.5698	0.8248	0.6883	0.8320	0.6072	0.8849	0.6693	0.8190
158.0000	0.2668	0.3657	0.5158	0.8829	0.9396	0.6920	0.5729	0.8316	0.6832	0.8310	0.6072	0.8849	0.6693	0.8190
159.0000	0.2741	0.3711	0.5237	0.8793	0.9377	0.6751	0.5675	0.8213	0.6910	0.8335	0.6072	0.8849	0.6693	0.8190
160.0000	0.2645	0.3666	0.5146	0.8835	0.9399	0.6789	0.5699	0.8238	0.6890	0.8313	0.6072	0.8849	0.6693	0.8190
161.0000	0.2653	0.3658	0.5147	0.8834	0.9399	0.6863	0.5695	0.8281	0.6858	0.8326	0.6072	0.8849	0.6693	0.8190
162.0000	0.2626	0.3653	0.5122	0.8846	0.9405	0.6609	0.5638	0.8128	0.6973	0.8354	0.6072	0.8849	0.6693	0.8190
163.0000	0.2622	0.3611	0.5119	0.8847	0.9406	0.6591	0.5650	0.8116	0.6982	0.8364	0.6072	0.8849	0.6693	0.8190
164.0000	0.2570	0.3617	0.5068	0.8870	0.9418	0.6754	0.5708	0.8216	0.6907	0.8315	0.6072	0.8849	0.6693	0.8190
165.0000	0.2590	0.3619	0.5080	0.8865	0.9415	0.6678	0.5700	0.8170	0.6942	0.8337	0.6072	0.8849	0.6693	0.8190
166.0000	0.2590	0.3633	0.5087	0.8861	0.9413	0.6728	0.5680	0.8200	0.6920	0.8326	0.6072	0.8849	0.6693	0.8190
167.0000	0.2652	0.3659	0.5146	0.8835	0.9399	0.6862	0.5716	0.8281	0.6858	0.8293	0.6072	0.8849	0.6693	0.8190
168.0000	0.2570	0.3613	0.5071	0.8868	0.9417	0.6672	0.5597	0.8166	0.6945	0.8357	0.6072	0.8849	0.6693	0.8190
169.0000	0.2559	0.3602	0.5060	0.8873	0.9420	0.6804	0.5654	0.8246	0.6885	0.8311	0.6072	0.8849	0.6693	0.8190
170.0000	0.2541	0.3568	0.5042	0.8882	0.9424	0.6918	0.5705	0.8315	0.6832	0.8299	0.6072	0.8849	0.6693	0.8190
171.0000	0.2523	0.3583	0.5026	0.8889	0.9428	0.6723	0.5632	0.8197	0.6922	0.8329	0.6072	0.8849	0.6693	0.8190
172.0000	0.2489	0.3556	0.4992	0.8904	0.9436	0.6861	0.5647	0.8280	0.6859	0.8308	0.6072	0.8849	0.6693	0.8190
173.0000	0.2476	0.3531	0.4971	0.8913	0.9441	0.6898	0.5685	0.8304	0.6841	0.8288	0.6072	0.8849	0.6693	0.8190
174.0000	0.2442	0.3513	0.4939	0.8927	0.9448	0.6728	0.5670	0.8200	0.6919	0.8328	0.6072	0.8849	0.6693	0.8190
175.0000	0.2442	0.3506	0.4942	0.8925	0.9447	0.6850	0.5715	0.8274	0.6864	0.8291	0.6072	0.8849	0.6693	0.8190
176.0000	0.2462	0.3519	0.4961	0.8917	0.9443	0.6860	0.5658	0.8279	0.6860	0.8325	0.6072	0.8849	0.6693	0.8190
177.0000	0.2373	0.3468	0.4873	0.8955	0.9463	0.6821	0.5647	0.8255	0.6878	0.8319	0.6072	0.8849	0.6693	0.8190
178.0000	0.2452	0.3519	0.4948	0.8923	0.9446	0.6897	0.5742	0.8302	0.6842	0.8278	0.6072	0.8849	0.6693	0.8190
179.0000	0.2479	0.3522	0.4948	0.8923	0.9446	0.6852	0.5639	0.8273	0.6864	0.8360	0.6072	0.8849	0.6693	0.8190
180.0000	0.2558	0.3598	0.5059	0.8874	0.9420	0.6777	0.5656	0.8229	0.6897	0.8324	0.6072	0.8849	0.6693	0.8190
